site_id	url
csis_org	https://www.csis.org/analysis
csmonitor_com	http://www.csmonitor.com/The-Culture/Faith-Religion
csps_org_bn	http://www.csps.org.bn/press/events-organised/forums/
cuba_cu	http://www.cuba.cu/sites/politica
culturaitalia_it	http://www.culturaitalia.it/blog/category/news/
cumrapostasi_com	https://cumrapostasi.com/kat/gundem/
dailyexpress_com_my	http://www.dailyexpress.com.my/world/
dailyibrat_com	https://www.dailyibrat.com/news/category/latest-news/
dailyinqilab_com	https://www.dailyinqilab.com/national
dailynayadiganta_com	https://www.dailynayadiganta.com/latest/
dailynews_co_th	http://www.dailynews.co.th/news/
dailyqudrat_pk	https://dailyqudrat.pk/world/
dailysabah_com	https://www.dailysabah.com/politics
dailythepatriot_com	https://dailythepatriot.com/category/latest-news/
dainiknavajyoti_com	http://www.dainiknavajyoti.com/world/category-1
dantri_com_vn	http://dantri.com.vn/the-gioi.htm
darendehaber_com	https://darendehaber.com/haber/kategori/liste-22
data_blog	https://data.blog/category/data-engineering/
dawnnews_tv	https://www.dawnnews.tv/pakistan
dcinside_com	https://gall.dcinside.com
de_hujiang_com	https://de.hujiang.com/new/xinwen/
degisimmedya_com	http://www.degisimmedya.com/hkategori/41-guncel.html
desh_co_in	https://www.desh.co.in/latest-news
desh_tv	https://desh.tv/national
desidozz_com	https://desidozz.com/news/
detik_com	https://news.detik.com/
detiknews_com	https://news.detik.com/berita
deutschlandfunkkultur_de	https://www.deutschlandfunkkultur.de/politik-114.html
deutschlernerblog_de	https://deutschlernerblog.de/category/sprachniveaus/
deutschwortschatz_de	https://deutschwortschatz.de/wortschatzbilder-zum-geniessen/blog/
devbhoomimedia_com	https://www.devbhoomimedia.com/uttrakhand/national/
dex_com	http://dex.com/global_locations.jsp
dhakatimes24_com	https://www.dhakatimes24.com/national
diariodechimbote_com	https://diariodechimbote.com/
dict_com	https://www.dict.com/
dictionary_cambridge_org	https://www.dictionary.cambridge.org/dictionary/
diis_dk	https://www.diis.dk/en/region/arctic
diyarbakirsoz_com	https://www.diyarbakirsoz.com/resmi-ilanlar
dizionari_repubblica_it	https://www.repubblica.it/politica/
dizionario_internazionale_it	https://dizionario.internazionale.it/abbreviazioni/opinioni
dmpnews_org	https://dmpnews.org/category/%e0%a6%9c%e0%a6%be%e0%a6%a4%e0%a7%80%e0%a7%9f/
dn_pt	https://www.dn.pt/%C3%BAltimas
dohamagazine_qa	https://www.dohamagazine.qa/ar/article-list
doonhorizon_in	https://doonhorizon.in/latest-news/
dpa_com	https://www.dpa.com/en/about-dpa/ownership-management
dropbox_com	https://www.dropbox.com/business/solutions/marketing
dunya_com	https://www.dunya.com/rss
dwiz882am_com	https://www.dwiz882am.com/index.php/category/headlines/
ebanglalibrary_com	https://www.ebanglalibrary.com/genres/editors-choice/
ecentral_my	https://ecentral.my/kewangan/
echoroukonline_com	https://www.echoroukonline.com/world
efe_com	https://www.efe.com/efe/espana/1/inicio-america/
ekushey_tv_com	https://www.ekushey-tv.com/1/national/
el_carabobeno_com	https://www.el-carabobeno.com/secciones/noticias/nacional/
el_nacional_com	http://www.el-nacional.com/politica/
elbistaninsesi_com	https://www.elbistaninsesi.com/politika
elbyan_com	https://www.elbyan.com/category/%d8%a3%d8%ae%d8%a8%d8%a7%d8%b1-%d9%85%d8%b5%d8%b1/
elcomercioperu_com_pe	http://www.elcomercioperu.com.pe/politica/
elhadeth_mr	http://elhadeth.mr/inter
elikhbaria_com	https://www.elikhbaria.com/
elmundo_es	https://www.elmundo.es/internacional.html
elpais_com	https://elpais.com/internacional/
